workload,arm,repetition,random_seed,status,correct,selected_latency_ms,readiness_seconds,internal_selected_performance,incumbent_best_perf,attempted,provider_requests,input_tokens,output_tokens,tier,decision,evaluation_count,llm_attempts,lfbo_attempts
fp8_attention-2x4x512x64,llm,1,1000,completed,True,0.21251200139522552,61.28704091301188,0.20998400449752808,0.20998400449752808,26,1,4703,476,,BaselineSearch,30,,
fp8_attention-2x4x512x64,llm,2,1001,completed,True,0.21244800090789795,64.24324398802128,0.20982399582862854,0.20982399582862854,26,1,4703,497,,BaselineSearch,32,,
fp8_attention-2x4x512x64,llm,3,1002,completed,True,0.21247999370098114,57.64668017497752,0.20985600352287292,0.20985600352287292,26,1,4703,487,,BaselineSearch,32,,
fp8_attention-2x4x512x64,llm,4,1003,completed,True,0.2120480015873909,40.270669710997026,0.21033599972724915,0.21033599972724915,26,1,4703,508,,BaselineSearch,29,,
fp8_attention-2x4x512x64,llm,5,1004,completed,True,0.2125760018825531,57.07135320501402,0.20972800254821777,0.20972800254821777,26,1,4703,489,,BaselineSearch,31,,
fp8_attention-2x4x8192x64,contextual_rag_llm,1,1000,completed,True,51.749616622924805,115.13898424303625,51.70163154602051,51.70163154602051,26,1,4708,537,2,BaselineSearch,31,,
fp8_attention-2x4x8192x64,contextual_rag_llm,2,1001,completed,True,58.4586238861084,131.6590895219706,58.62575912475586,58.5076789855957,26,1,4708,554,2,BaselineSearch,32,,
fp8_attention-2x4x8192x64,contextual_rag_llm,3,1002,completed,True,64.54627227783203,85.68742067797575,64.65167999267578,64.49465942382812,26,1,4708,522,2,BaselineSearch,29,,
fp8_attention-2x4x8192x64,contextual_rag_llm,4,1003,completed,True,63.19260787963867,96.57223069202155,63.21036911010742,63.14316940307617,26,1,4708,574,2,BaselineSearch,30,,
fp8_attention-2x4x8192x64,contextual_rag_llm,5,1004,completed,True,64.55887985229492,99.96137089800322,64.63190460205078,64.50717163085938,26,1,4708,499,2,BaselineSearch,30,,
fp8_attention-2x4x8192x64,hybrid_lfbo_llm,1,1000,completed,True,51.74401664733887,389.4756041590008,51.70665740966797,51.702049255371094,80,1,4708,515,,BaselineSearch,68,26,54
fp8_attention-2x4x8192x64,hybrid_lfbo_llm,2,1001,completed,True,51.53343963623047,359.7275730599649,51.487823486328125,51.487823486328125,80,1,4708,543,,BaselineSearch,68,26,54
fp8_attention-2x4x8192x64,hybrid_lfbo_llm,3,1002,completed,True,57.63680076599121,351.756227365986,57.70785713195801,57.66156768798828,80,1,4708,508,,BaselineSearch,69,26,54
fp8_attention-2x4x8192x64,hybrid_lfbo_llm,4,1003,completed,True,54.10097694396973,365.7337923029554,54.11369705200195,54.05100631713867,80,1,4708,500,,BaselineSearch,68,26,54
fp8_attention-2x4x8192x64,hybrid_lfbo_llm,5,1004,completed,True,57.437904357910156,401.3690059190267,57.45529556274414,57.45529556274414,80,1,4708,548,,BaselineSearch,68,26,54
fp8_attention-2x4x8192x64,lfbo,1,1000,completed,True,27.960911750793457,290.89139938598964,27.926127433776855,27.92255973815918,80,0,,,,BaselineSearch,40,,
fp8_attention-2x4x8192x64,lfbo,2,1001,completed,True,52.26185607910156,245.15599900402594,52.272254943847656,52.218719482421875,80,0,,,,BaselineSearch,41,,
fp8_attention-2x4x8192x64,lfbo,3,1002,completed,True,57.62318420410156,278.6791695569991,57.71116828918457,57.671329498291016,80,0,,,,BaselineSearch,42,,
fp8_attention-2x4x8192x64,lfbo,4,1003,completed,True,63.16361618041992,252.25397561700083,63.20259094238281,63.09299087524414,80,0,,,,BaselineSearch,41,,
fp8_attention-2x4x8192x64,lfbo,5,1004,completed,True,57.4310245513916,289.5786785240052,57.81316947937012,57.7845458984375,80,0,,,,BaselineSearch,42,,
fp8_attention-2x4x8192x64,llm,1,1000,completed,True,51.74515342712402,103.00425455300137,51.70139122009277,51.70139122009277,26,1,4708,513,,BaselineSearch,30,,
fp8_attention-2x4x8192x64,llm,2,1001,completed,True,58.52926445007324,126.55376438598614,58.617984771728516,58.30790328979492,26,1,4708,485,,BaselineSearch,32,,
fp8_attention-2x4x8192x64,llm,3,1002,completed,True,64.46294403076172,79.30423354299273,64.61851501464844,64.61851501464844,26,1,4708,515,,BaselineSearch,30,,
fp8_attention-2x4x8192x64,llm,4,1003,completed,True,63.11952018737793,90.84212291199947,63.19785690307617,63.19785690307617,26,1,4708,508,,BaselineSearch,30,,
fp8_attention-2x4x8192x64,llm,5,1004,completed,True,64.39081573486328,96.3999842730118,64.63753509521484,64.49878692626953,26,1,4708,511,,BaselineSearch,30,,
gdn_fwd_h-b1h4s2048ds128,contextual_rag_llm,1,1000,completed,True,0.019807999953627586,76.10185063799145,0.019487999379634857,0.018592000007629395,26,1,5282,966,1,ContextualSearch,34,,
